Table 1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
GRANVILLE  MILLS  MILLGATE  PADDOCK  HUDDERSFIELD  HD1  4SD  WEST  YORKSHIRE  ENGLAND,,,,,,,,,,,
,,,,TEL: 01484 428697  FAX: 01484 660538 MOB 07971244713,,,,,,,
NYHR,Nylon Household Rummage,,,KG,55,,35.00,0.00,,,
HHR,Household rummage,,,KG,55,,35.00,0.00,,,
JUMP,Jumper,,,KG,55,,35.00,0.00,,,
LEGG,Leggings,,,KG,55,,70.00,0.00,,,
WSH,White Shirt,,,PCS,400,,70.00,0.00,,,
ALS,Adult Long Short,,,KG,55,,70.00,0.00,,,
ATS,Adult T. Shirt,,,KG,55,,70.00,0.00,,,
BCSH,Boys Coton Shirts,,,KG,55,,70.00,0.00,,,
BPT,Boys Pants,,,PCS,200,,70.00,0.00,,,
SUIT,Suits,,,PCS,40,,70.00,0.00,,,
BRA,Brassier,,,KG,55,,70.00,0.00,,,
HAT,Hats,,,KG,55,,70.00,0.00,,,
CCR,Children Cotton Rummage,,,KG,55,,70.00,0.00,,,
LTS,Ladies Tergal  Skirt,,,KG,55,,70.00,0.00,,,
LS,Ladies  Suit,,,KG,55,,70.00,0.00,,,
SU,School Uniform,,,KG,55,,35.00,0.00,,,
CS,Cut  Short,,,KG,55,,35.00,0.00,,,
SLIP,Slips,,,KG,55,,70.00,0.00,,,
GCD,Girls Cotton Dress,,,KG,55,,70.00,0.00,,,
CTS,Children T. Shirts,,,KG,55,,70.00,0.00,,,
NET,Net Curtains,,,KG,55,,35.00,0.00,,,
UW, Under Wear,,,KG,55,,70.00,0.00,,,
LWCB,Ladies White Cotton Blouse,,,KG,55,,35.00,0.00,,,
GS,Girls Skirt,,,KG,55,,70.00,0.00,,,
PU,Pin Ups,,,KG,55,,70.00,0.00,,,
MBS,Men/Boys Swim Wear,,,KG,55,,70.00,0.00,,,
CHHR,Cotton Household Rummage,,,KG,55,,70.00,0.00,,,
FCAP,Face Caps,,,KG,55,,70.00,0.00,,,
MJK,Men Jacket,,,KG,55,,35.00,0.00,,,
GRD,Girdles,,,KG,55,,70.00,0.00,,,
SS,Silk Scarves,,,KG,55,,70.00,0.00,,,
SC,Suitcases,,,KG,55,,0.50,0.00,,,
PD,Party Dress,,,KG,55,,70.00,0.00,,,
LPOLO D,Ladies Polo Dress,,,KG,55,,70.00,0.00,,,
LPOLO S,Ladies Polo Skirt,,,KG,55,,70.00,0.00,,,
FLEECE,Fleeces,,,KG,55,,35.00,0.00,,,
BLANKET,Blankets,,,KG,55,,35.00,0.00,,,
SSH,Sweat Shirt,,,KG,55,,35.00,0.00,,,
PLS,Polo L/S,,,KG,55,,35.00,0.00,,,
MM,Missy Missy,,,KG,55,,35.00,0.00,,,
VC,Velvet Curtain,,,KG,55,,35.00,0.00,,,
FT MAT,Foot Mat,,,KG,55,,35.00,0.00,,,
NHHR,Neww Household Rummage,,,KG,55,,35.00,0.00,,,
LLJ,Ladies Light Jacket,,,KG,55,,35.00,0.00,,,
LHB,Ladies Hand Bags,,,KG,3120,,20.80,0.00,,,
,,,,,,,FREIGHT,3020.00,,,
,,,,,TOTAL,0,TOTAL," 	3,020.00 ",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
